gene_symbol,n_lines_screened,mean_chronos,median_chronos,frac_essential,frac_strongly_essential
ARRDC4,1208,0.04801381778823377,0.046116806107462355,0.0008278145695364238,0.0
TRIM5,1208,0.06256722119818493,0.063341281578513,0.0,0.0
RAB40C,1208,-0.02346772523348361,-0.02140506805942005,0.006622516556291391,0.0
TRIM38,1208,-0.021109086874561377,-0.0188319621888684,0.0016556291390728477,0.0
PPIL2,1208,-1.1466197336013995,-1.1439136454737713,0.9776490066225165,0.7384105960264901
TRIM23,1208,-0.06984857081509861,-0.06301087799897759,0.004966887417218543,0.0
CSNK1D,1208,-0.08621858318251947,-0.0712815053067318,0.020695364238410598,0.0008278145695364238
UBR1,1208,-0.019749250819152527,-0.018225138335559048,0.0041390728476821195,0.0008278145695364238
RNF175,1208,0.044639400664818446,0.041788124568207505,0.0,0.0
ZNRF1,1208,0.1114426858571077,0.1120613810165624,0.0,0.0
AXIN1,1208,0.027683936557916632,0.043995569574315746,0.023178807947019868,0.0008278145695364238
VHL,1208,-0.8089743568617448,-0.8120675461084389,0.7698675496688742,0.34105960264900664
ANAPC16,1208,-0.017454545193836667,-0.0093847584401194,0.0041390728476821195,0.0
CBLC,1208,-0.11713225968670528,-0.11562120299027145,0.006622516556291391,0.0
MAGEB2,1208,0.14853484883208826,0.14587886933119254,0.0,0.0
COMMD8,1208,-0.24721149522861352,-0.23750613608307336,0.11423841059602649,0.0024834437086092716
UBC,382,-0.33428078072306777,-0.3384464982345773,0.3010471204188482,0.05235602094240838
YTHDC1,1208,-0.4806199671474834,-0.4706245352260717,0.4246688741721854,0.014900662251655629
WDR5B,1208,-0.14881614345363117,-0.14165832836864614,0.009105960264900662,0.0
KCTD4,1208,0.07418937428530918,0.07305841583098414,0.0,0.0
KBTBD13,1208,0.03656127434518598,0.03758218384366105,0.0,0.0
FBXO36,1208,-0.15694794716148247,-0.15487712337907994,0.014900662251655629,0.0
RNF10,1208,0.025333377310148838,0.0307029801980985,0.0024834437086092716,0.0
DCUN1D5,1208,-0.006683939426536625,-0.00421599981104845,0.0041390728476821195,0.0
UBE2L5,70,-0.12886236653030245,-0.10958052592460095,0.07142857142857142,0.014285714285714285
KLHL5,1208,0.09920711846280156,0.10046765135766315,0.0008278145695364238,0.0
TRAF5,1208,0.080504121704091,0.081807854582253,0.0008278145695364238,0.0008278145695364238
UBE2D2,1208,0.007004299020451087,0.009229790342554601,0.0033112582781456954,0.0
IVNS1ABP,1208,0.011994149286784389,0.02055357586156245,0.0016556291390728477,0.0
NEURL3,74,0.13025614838982175,0.15376038426894212,0.02702702702702703,0.0
RNF215,1208,-0.03898568593131992,-0.044458757712130204,0.004966887417218543,0.0
DCAF13,77,-2.496522873938131,-2.605811274134779,1.0,1.0
RNF223,1208,-0.1146577758410931,-0.11255056695752849,0.009105960264900662,0.0
DDA1,1208,-0.36563308657366805,-0.34966394062446504,0.21274834437086093,0.009105960264900662
ARIH1,1208,-1.4188695630415933,-1.4129961087419045,0.9801324503311258,0.8733443708609272
CCAR2,1208,-0.014981325924279454,-0.0105386340113171,0.0033112582781456954,0.0
RNF170,1208,-0.014779492398449123,-0.0094176773745328,0.0008278145695364238,0.0
UBE2E2,1208,0.06062068776171531,0.0635384859659584,0.0,0.0
TRIM16,1208,-0.02940987696085791,-0.030835881166136947,0.0033112582781456954,0.0
MAGEL2,77,0.03436105334287639,0.0371497818882152,0.0,0.0
ANAPC13,1208,-0.5987989660655866,-0.5885017773800435,0.6548013245033113,0.061258278145695365
FEM1A,1208,-0.19415687369288348,-0.18296242903424914,0.052152317880794705,0.0008278145695364238
TRIM50,1208,-0.08582927000642605,-0.08531906872909745,0.0033112582781456954,0.0
TSC1,1208,0.027989718750017756,0.029938936368507203,0.09188741721854304,0.005794701986754967
MGRN1,1208,-0.019771541243108755,-0.0001829893310425172,0.014900662251655629,0.0008278145695364238
RNF19A,1208,-0.029188461231371407,-0.0281004771022564,0.0033112582781456954,0.0
LNX2,1208,0.08881497056406161,0.08162443873823035,0.0,0.0
DCAF1,74,-2.025802010939442,-1.9834473902803096,1.0,0.972972972972973
ZSWIM8,1208,-0.19926462896449723,-0.1922726629299277,0.04470198675496689,0.0
RNF225,74,0.25464857508083893,0.25069957060839737,0.0,0.0
AURKA,1208,-1.209496480979796,-1.184886132887006,0.9942052980132451,0.7640728476821192
GAN,1208,-0.059046022134902475,-0.05372708061599115,0.012417218543046357,0.0
NEMF,1208,-0.2476721525901306,-0.23479784269297882,0.09850993377483444,0.0
TRIM48,74,-0.09081300018442418,-0.07858420751864276,0.02702702702702703,0.0
TRIM11,1208,-0.02296530353076775,-0.018195763490561602,0.0074503311258278145,0.0008278145695364238
COMMD7,1208,-0.14441477748863604,-0.1328435981714743,0.012417218543046357,0.0
RBBP6,1208,-0.9964150193750678,-1.0124060725053932,0.9139072847682119,0.5140728476821192
WRAP53,1208,-0.19367278846736297,-0.18965116902480406,0.05380794701986755,0.0008278145695364238
PAQR3,1208,-0.16539775627562242,-0.16295747474470457,0.013245033112582781,0.0
FBXL22,1208,-0.02425912600331221,-0.02613126066069775,0.0,0.0
ZER1,1208,-0.14092790599940005,-0.11826845635208569,0.027317880794701987,0.009933774834437087
BAG6,1208,-0.1491695455802051,-0.14608068035743155,0.03145695364238411,0.0
UBE2F,1208,0.021062265502049343,0.022175379794254248,0.027317880794701987,0.0016556291390728477
UBE2D4,1208,-0.11607954679224311,-0.11329704991984829,0.0016556291390728477,0.0
MIOS,1208,-0.5052175658358253,-0.47318886352088285,0.46357615894039733,0.07119205298013245
BTBD17,1208,-0.17962251264615448,-0.18170017906969443,0.07201986754966887,0.0
PML,1208,0.03114365460396724,0.028752594799035747,0.0008278145695364238,0.0008278145695364238
TRIML1,1208,0.09476514599468693,0.0946077779063096,0.0,0.0
KEAP1,1208,-0.16158623402101607,-0.13783335841661126,0.19370860927152317,0.04718543046357616
APPBP2,1208,-0.014956652427730796,-0.012722954216783901,0.006622516556291391,0.0
KIF12,1208,0.020812617652578625,0.022439418987211,0.0,0.0
HECTD4,74,0.13119674978699908,0.13521129890787636,0.013513513513513514,0.0
FBXO41,1208,-0.14671902779055077,-0.14554680062221254,0.0173841059602649,0.0
FANCL,1208,-0.26032695757510915,-0.2247534049436813,0.11258278145695365,0.009105960264900662
ICAM1,1208,0.051834563908088424,0.049668486132353445,0.0008278145695364238,0.0008278145695364238
FBXW11,1208,-0.478852036916539,-0.4444778526148382,0.451158940397351,0.07036423841059603
CENATAC,1208,-1.3311032252009363,-1.30037427728773,0.9925496688741722,0.8534768211920529
SOCS4,1208,-0.08395103205800156,-0.08842248676109779,0.0041390728476821195,0.0
CDK5RAP3,1208,-0.2380382969052794,-0.22551979649385875,0.09933774834437085,0.0016556291390728477
GID8,1208,-0.1332085891850871,-0.1261138416659173,0.0173841059602649,0.0
MARCHF3,1090,-0.07694685565289446,-0.07810726469643406,0.001834862385321101,0.0
CUL3,1208,-0.5331317628622169,-0.5352254568956524,0.5579470198675497,0.052152317880794705
MAEA,1208,-0.38242757993867893,-0.37062310301790524,0.320364238410596,0.014900662251655629
FBXO24,1208,0.00938586645452034,0.0121407062033645,0.0041390728476821195,0.0
MAGEA6,1047,-0.04601702196339464,-0.0370819601672508,0.007640878701050621,0.0009551098376313276
FBXO27,1208,0.09460545055786178,0.09745169982832125,0.0041390728476821195,0.0
NCCRP1,1208,-0.08714637507040654,-0.08141339849452231,0.009105960264900662,0.0
ELOC,1208,-1.3337870184167424,-1.3141427718459235,0.9942052980132451,0.8336092715231788
ZNF738,70,-0.04631827358267308,-0.0134603730981857,0.04285714285714286,0.0
RAD54L2,1208,-0.16902905853789307,-0.1521033139968747,0.050496688741721855,0.0074503311258278145
RAB40AL,1165,0.036098007618778044,0.0374548926944858,0.0,0.0
CHEK2,1208,0.21951236553845363,0.2021183754514822,0.0,0.0
TRIM13,1208,0.030084756791144796,0.02925276621119485,0.0,0.0
KBTBD2,1208,-0.20024387545199235,-0.17668742498368895,0.06374172185430464,0.0041390728476821195
PCBP2,1208,-1.4707067097122104,-1.4673074831316733,0.9917218543046358,0.8642384105960265
LONRF2,1208,-0.013457613246630048,-0.0096443835886923,0.0041390728476821195,0.0
FBXW10,1165,0.04783974285749367,0.0512981940938452,0.0,0.0
RAB40A,1047,-0.0589419209262138,-0.056463412920648,0.0009551098376313276,0.0
SOCS7,1208,-0.038362004772977396,-0.03762674290072355,0.004966887417218543,0.0
KLHL28,1208,0.06146941080878848,0.057938071731430854,0.0,0.0
WDTC1,1208,-0.2991638894992446,-0.29228091777834087,0.09105960264900662,0.0
ASB8,1208,-0.0997342403450814,-0.09670689291396475,0.0041390728476821195,0.0
FBXL6,1208,-0.20081459575886057,-0.19357616477250095,0.033112582781456956,0.0
BIRC7,1208,0.15762686208254198,0.15824852084519414,0.0,0.0
RNF44,1208,-0.019481906421107364,-0.01672494776125765,0.0074503311258278145,0.0
TRIM54,1208,-0.1951044498166926,-0.1894605215822707,0.030629139072847682,0.0
KLHL4,1208,0.14297103979706427,0.14517031236709627,0.0008278145695364238,0.0
TRIM28,1208,-0.24960238886315605,-0.22664608764339295,0.17963576158940397,0.016556291390728478
SKIC8,1208,-0.7458183882533815,-0.7505233642287892,0.8104304635761589,0.173841059602649
KLHL21,1208,0.0009753104957133544,0.0057841485333511005,0.0033112582781456954,0.0
KLHL15,1208,0.030994867746355945,0.03573171621486225,0.0008278145695364238,0.0
AMBRA1,1208,-0.10990200368206271,-0.1236088722084311,0.1498344370860927,0.0173841059602649
CD83,1208,-0.04998822240946152,-0.04900067364454665,0.0016556291390728477,0.0
SH3BGRL,1208,0.04592811174803334,0.0399958057492163,0.0,0.0
KLHL36,1208,0.12295102597855866,0.12139404024156505,0.0,0.0
NHLRC1,1208,-0.0668223569452647,-0.058392798814029145,0.009933774834437087,0.0
HERC5,1208,0.015683636680664182,0.01780150088531795,0.0008278145695364238,0.0
FBXW7,1208,-0.0054842155872692755,0.01103168737886285,0.04718543046357616,0.004966887417218543
ASB5,1208,0.11977619949051857,0.1200468748214477,0.0008278145695364238,0.0
NEDD4,1208,0.042946571296630986,0.04284597565188725,0.0,0.0
ERCC8,1208,-0.02175848797638671,-0.0230852588177838,0.0024834437086092716,0.0
CBL,1208,0.02591801212491548,0.02437509349333265,0.0016556291390728477,0.0
RNF208,1208,0.04846571328210746,0.0512467870563598,0.0,0.0
CHFR,1208,-0.06963613876816513,-0.0738671309954132,0.0041390728476821195,0.0
RNF26,1208,-0.11796895057307533,-0.11331899297494161,0.01903973509933775,0.0
BABAM2,1208,0.07024170312250147,0.0717991818396576,0.005794701986754967,0.0
LRRC41,1208,-0.06300599541969565,-0.05358789161550725,0.006622516556291391,0.0
FBXL20,1208,-0.001220844597628428,-0.0021410101918302,0.0008278145695364238,0.0
MED8,1208,-1.2743984391537622,-1.2677491984180198,0.9850993377483444,0.8062913907284768
RAG1,1208,-0.05651265050052836,-0.0525611752614045,0.0016556291390728477,0.0
KCTD1,1165,-0.0002559370541683736,-0.001878902991311,0.0,0.0
NOD1,1208,-0.0967283120030013,-0.09335819466116765,0.0016556291390728477,0.0
CDC26,1208,-0.7594041389917846,-0.7428224741033667,0.8692052980132451,0.15728476821192053
HECTD2,1208,-0.00885084270617636,-0.00486289294525705,0.0033112582781456954,0.0
UBR4,1208,-1.1632628737279076,-1.1694464515272625,0.9246688741721855,0.6473509933774835
IRAK4,1208,0.018639584147653588,0.0211025165680623,0.004966887417218543,0.0
FBXO47,1208,-0.134732722874712,-0.13617155266041586,0.029801324503311258,0.0008278145695364238
DET1,1208,-0.29409520423675284,-0.2601184915149617,0.20281456953642385,0.02566225165562914
MARCHF2,1090,0.004562769280092394,0.0018564394739431999,0.0,0.0
RNF144A,1208,0.1773917568280539,0.17542826169939463,0.0,0.0
TRIM31,1208,0.07763354776117747,0.0774472767059651,0.0,0.0
TOPORS,1208,0.01060747085300362,0.01618885685265705,0.0024834437086092716,0.0
RPGR,1208,0.06737895595835788,0.0648595959088009,0.0,0.0
KLHL7,1208,-0.041246734489306186,-0.03213799996672065,0.0074503311258278145,0.0
TRIM56,1208,0.005207150701537934,0.005013953209506599,0.0016556291390728477,0.0
FBXO22,1208,-0.11155001001378996,-0.10756508799474884,0.012417218543046357,0.0008278145695364238
PCGF1,1208,-0.038397190258916726,-0.029005555280615852,0.03145695364238411,0.0016556291390728477
KBTBD7,1165,0.03924677939368389,0.037647653265912,0.0,0.0
EPM2A,1208,-0.0566237197023102,-0.057220805208701,0.004966887417218543,0.0
TNFAIP1,1208,0.011276883120031842,0.01285494856321175,0.0016556291390728477,0.0
UBE2L6,1208,0.005165447073504636,0.006683908340682949,0.0,0.0
UBXN1,1208,-0.041890590830059804,-0.04066930585510375,0.0008278145695364238,0.0
UBE2G2,1208,-0.3269788693792702,-0.27223478026721926,0.19950331125827814,0.028973509933774833
FBXO38,1208,0.058868856229901755,0.058881722017985194,0.0,0.0
RNF126,1208,-0.0324514274540164,-0.0265096440123507,0.01076158940397351,0.0
TTC3,1208,0.05200552766099922,0.05774192292161155,0.0,0.0
SMURF1,1208,-0.13418421780700132,-0.1215844906449656,0.01903973509933775,0.0
WSB1,1208,-0.043449707562992115,-0.029118088652116,0.0173841059602649,0.0024834437086092716
AMFR,1208,-0.16802104885561955,-0.16261373776073434,0.052980132450331126,0.0016556291390728477
GNL3L,1208,-0.853208567976817,-0.8413714194546775,0.9048013245033113,0.2731788079470199
PELI2,1208,-0.013897864695702585,-0.0156679854904579,0.0008278145695364238,0.0
PRAME,1208,0.02124623871160805,0.020794428280483848,0.0008278145695364238,0.0
LEO1,1208,-0.21259738255962246,-0.20389917699614674,0.07698675496688742,0.0024834437086092716
NOD2,1208,0.1064273620965792,0.1028776441517801,0.0,0.0
RNF38,1208,-0.03567755892395537,-0.0284631358970476,0.0024834437086092716,0.0
RNF19B,1208,-0.02278957900835195,-0.02397242732231135,0.0016556291390728477,0.0
HINT1,1208,0.07694429941348988,0.0760562228455999,0.0,0.0
TBL1Y,383,0.5222223317713715,0.511590010628836,0.0,0.0
KLHL42,1208,-0.08353326543306414,-0.0776053059222923,0.0041390728476821195,0.0
KLHL18,1208,0.042122038480559405,0.0456650115302666,0.0016556291390728477,0.0
KCTD2,1208,-0.1908195349225242,-0.18807261673179304,0.03394039735099338,0.0008278145695364238
TOMM6,1208,-0.1556012871983619,-0.14987525480326702,0.018211920529801324,0.0016556291390728477
MIB2,1208,-0.11900762998262403,-0.114657068713819,0.009933774834437087,0.0
RNF168,1208,-0.5406784775712687,-0.5015654829416375,0.5008278145695364,0.08940397350993377
FBXW10B,1047,-0.07945342357758008,-0.0767406805039454,0.004775549188156638,0.0
GMCL2,70,0.3443546192241288,0.33943584502491186,0.0,0.0
TRIM59,1208,0.11059987154175636,0.11351158444610521,0.0008278145695364238,0.0
SOCS3,1208,-0.1902616374478147,-0.1341386583959408,0.12003311258278146,0.018211920529801324
STYX,1208,-0.0016345888355164821,0.00440365211274965,0.004966887417218543,0.0
ARK2C,1208,0.09316772759851459,0.08943004056950304,0.0016556291390728477,0.0
ZBTB20,1208,0.10618558183795414,0.10807511310888471,0.0008278145695364238,0.0
ITCH,1208,0.01930343199497243,0.0245353724930862,0.005794701986754967,0.0
RNF8,1208,-0.4996491927930123,-0.4776308177317093,0.4652317880794702,0.04056291390728477
FBXO10,1208,0.02643219760654822,0.0279702918937329,0.0,0.0
UBE2O,1208,-0.3259513804795945,-0.31755020926281435,0.1216887417218543,0.0041390728476821195
FBXO30,1208,0.12476274070770428,0.1230051864247021,0.0,0.0
SUV39H2,1208,-0.005127929675579812,-0.00186618584428665,0.0016556291390728477,0.0
PTAR1,1208,-0.3328766989833991,-0.2939628382392374,0.2433774834437086,0.027317880794701987
WDSUB1,1208,-0.0018052631714385405,0.00592965656394285,0.0024834437086092716,0.0
LRRC75A,1208,-0.10589691118699375,-0.1042814235235434,0.0074503311258278145,0.0
