gene_symbol,n_lines_expression,mean_log_tpm,median_log_tpm,frac_expressed,frac_high_expressed
ARRDC4,1775,2.5783776395323943,2.6063476,0.8298591549295775,0.40732394366197183
TRIM5,1775,3.7180849576625348,3.9008765,0.956056338028169,0.796056338028169
RAB40C,1775,3.2438190961521123,3.203635,0.9994366197183099,0.6225352112676056
TRIM38,1775,2.24785369044,2.3963788,0.8715492957746479,0.2123943661971831
PPIL2,1775,4.437100926478872,4.4537153,1.0,0.9769014084507043
TRIM23,1775,2.983494921594366,3.0098827,0.9954929577464788,0.5064788732394366
CSNK1D,1775,6.430722207211267,6.4760675,1.0,1.0
UBR1,1775,3.3421418587267606,3.381959,0.9983098591549295,0.7369014084507042
RNF175,1775,0.577756702494648,0.06465388,0.18985915492957747,0.056338028169014086
ZNRF1,1775,4.216394662569014,4.2289186,0.9971830985915493,0.9059154929577464
AXIN1,1775,3.64167562195493,3.668641,0.9983098591549295,0.8445070422535211
VHL,1775,4.625837558878874,4.678382,0.9983098591549295,0.9628169014084507
ANAPC16,1775,6.390307443943661,6.381197,0.9994366197183099,0.9994366197183099
CBLC,1775,1.2537043305092956,0.055845346,0.3228169014084507,0.24619718309859154
MAGEB2,1775,0.6951444801830986,0.023111964,0.14591549295774647,0.09915492957746479
COMMD8,1775,4.987305296816901,5.0106096,0.9994366197183099,0.9887323943661972
UBC,1775,9.660970168788733,9.701067,1.0,1.0
YTHDC1,1775,5.3899098410704225,5.4148088,1.0,0.9994366197183099
WDR5B,1775,2.5317908591492957,2.5042086,0.9943661971830986,0.2112676056338028
TRIM64B,1775,0.014624341665915492,0.0,0.0028169014084507044,0.0
KCTD4,1775,0.33026578103492954,0.03181298,0.09915492957746479,0.03323943661971831
KBTBD13,1775,0.016861954374647888,0.0,0.0022535211267605635,0.0
FBXO36,1775,1.4070555558794364,1.3905797,0.6788732394366197,0.023098591549295774
RNF10,1775,6.682171587323943,6.726164,1.0,1.0
DCUN1D5,1775,6.19130520997183,6.205758,0.9994366197183099,0.9983098591549295
PRAMEF26,1775,0.0059240516664788734,0.0,0.0016901408450704226,0.0
KLHL5,1775,4.733698464477747,4.8838797,0.9723943661971831,0.8907042253521127
TRAF5,1775,3.1021178751363383,3.2176402,0.927887323943662,0.5605633802816902
UBE2D2,1775,6.372475158197183,6.3683634,1.0,1.0
IVNS1ABP,1775,5.91902858253521,5.8686447,1.0,0.9983098591549295
NEURL3,1775,0.6431656279921127,0.1569182,0.2140845070422535,0.05014084507042253
RNF215,1775,3.2922074961464785,3.3222268,0.9949295774647887,0.6580281690140845
DCAF13,1775,6.317349992281691,6.3300705,1.0,0.9994366197183099
RNF223,1775,0.6421195420845071,0.04784267,0.24338028169014084,0.05577464788732395
DDA1,1775,5.285025374591549,5.341292,1.0,0.9971830985915493
ARIH1,1775,5.286017956450704,5.331956,1.0,0.9960563380281691
CCAR2,1775,6.28198401002817,6.3197174,1.0,0.9988732394366198
RNF170,1775,3.6782061111042257,3.7163434,0.9977464788732394,0.8264788732394366
UBE2E2,1775,3.9206925718816903,4.3114305,0.9064788732394367,0.8067605633802817
TRIM16,1775,4.744196090845071,4.693325,0.9994366197183099,0.8935211267605634
