n_residues_total,n_residues_confident,confident_fraction,mean_plddt,compactness,hp_surf_frac,arom_surf_frac,max_hp_patch,n_hp_patches_5plus,pocket_density,max_pocket_cluster,pocket_cluster_per_100res,accession,Entry,intended_gene,gene_symbol,protac_validated,Length,n_lines_screened,mean_chronos,median_chronos,frac_essential,frac_strongly_essential,n_lines_expression,mean_log_tpm,median_log_tpm,frac_expressed,frac_high_expressed,mechanism_class,n_strands,beta_fraction,radial_cv,beta_radial_score,central_pore_score,propeller_score
627,621,0.9904306220095692,94.73312399355878,1.2846333247520336,0.2694805194805195,0.1201298701298701,11,4,0.2012882447665056,20,3.22061191626409,Q9UK73,Q9UK73,FEM1B,FEM1B,True,627,1208.0,-0.1225541452734873,-0.1162076583787134,0.0173841059602649,0.0008278145695364,1775.0,4.357363809802817,4.3846025,1.0,0.9650704225352112,covalent,4,0.030595813204508857,0.5,0.0,0.2575103986069565,0.0
624,564,0.903846153846154,95.18544326241134,1.367816613290078,0.2842465753424658,0.1027397260273972,7,1,0.2234042553191489,73,12.943262411347517,Q14145,Q14145,KEAP1,KEAP1,True,624,1208.0,-0.161586234021016,-0.1378333584166112,0.1937086092715231,0.0471854304635761,1775.0,5.520664185577465,5.5424685,0.99943661971831,0.9971830985915492,pocket_binder,30,0.28900709219858156,0.7520598769187927,6.6663842922382415,0.11071018995225594,0.738036671288431
190,83,0.4368421052631579,91.05734939759036,2.359681824835853,0.3538461538461538,0.0923076923076923,8,2,0.1204819277108433,3,3.614457831325301,P78317,P78317,RNF4,RNF4,True,190,1208.0,-0.6576528532779721,-0.6163503719395789,0.6332781456953642,0.1630794701986755,1775.0,5.428663789577465,5.475497,1.0,0.9977464788732394,covalent,3,0.12048192771084337,0.5,0.0,0.0843919829781101,0.0
497,347,0.6981891348088531,88.21541786743516,1.514245677056585,0.3,0.0952380952380952,5,2,0.2161383285302593,14,4.034582132564841,P98170,P98170,XIAP,XIAP,True,497,1208.0,-0.0252671129524687,-0.0122956687644793,0.0107615894039735,0.0024834437086092,1775.0,3.9512723396090137,3.9833128,0.9988732394366198,0.9154929577464788,pocket_binder,9,0.1037463976945245,0.21285691857337952,5.879729398506899,0.17654862528717294,1.0380581423669692
491,187,0.3808553971486761,91.46983957219253,1.8777183342742336,0.373015873015873,0.1031746031746031,6,2,0.213903743315508,22,11.76470588235294,Q00987,Q00987,MDM2,MDM2,True,491,1208.0,-0.6467857232535293,-0.4264400763811439,0.3841059602649007,0.2251655629139073,1775.0,5.259384478197183,5.0917296,1.0,0.9954929577464788,pocket_binder,7,0.1711229946524064,0.1638370156288147,5.044185116658476,0.3323890950859642,1.6766321263721997
442,378,0.8552036199095022,93.48293650793651,1.152085355278316,0.2727272727272727,0.0748663101604278,6,1,0.1984126984126984,23,6.084656084656085,Q96SW2,Q96SW2,CRBN,CRBN,True,442,1208.0,0.0420818238367264,0.0393590549277919,0.0016556291390728,0.0,1775.0,4.827311087774648,4.8473606,1.0,0.9932394366197184,molecular_glue,15,0.3253968253968254,0.3338579535484314,7.6931805532018736,0.06402869422775832,0.4925843052798994
600,404,0.6733333333333333,92.84356435643564,1.1949236326820822,0.3181818181818182,0.106060606060606,7,2,0.2227722772277227,27,6.683168316831684,Q66K64,Q66K64,DCAF15,DCAF15,True,600,1208.0,-0.2409509021222197,-0.2012097699770127,0.1117549668874172,0.0115894039735099,1775.0,4.407120699380282,4.406863,1.0,0.9740845070422536,molecular_glue,22,0.4158415841584158,0.43233558535575867,9.266180648475524,0.17366595992741693,1.6092201571783566
213,155,0.7276995305164319,96.9836129032258,1.4022010299588898,0.3663366336633663,0.0792079207920792,5,1,0.232258064516129,20,12.903225806451612,P40337,P40337,VHL,VHL,True,213,1208.0,-0.8089743568617448,-0.8120675461084389,0.7698675496688742,0.3410596026490066,1775.0,4.625837558878874,4.678382,0.9983098591549296,0.9628169014084508,pocket_binder,7,0.25806451612903225,0.24983450770378113,4.247120116697253,0.19148936700558436,0.8132783427430407
1507,1057,0.7013934970139349,90.49809839167456,1.3147555910415776,0.2967741935483871,0.0924731182795698,6,2,0.2128666035950804,20,1.8921475875118257,Q9Y4B6,Q9Y4B6,DCAF1,DCAF1,True,1507,74.0,-2.025802010939442,-1.9834473902803096,1.0,0.972972972972973,1775.0,3.484927249239437,3.5346096,0.9988732394366198,0.7994366197183098,covalent,28,0.15421002838221382,0.36515194177627563,13.489351907444783,0.05809355758410549,0.7836444418074068
228,186,0.8157894736842105,91.04209677419357,1.810158124053608,0.3383458646616541,0.0827067669172932,7,4,0.1720430107526881,20,10.75268817204301,Q9Y508,Q9Y508,RNF114,RNF114,True,228,1208.0,-0.0333667753705489,-0.0299863236677075,0.0024834437086092,0.0,1775.0,6.143770786816901,6.148377,1.0,1.0,covalent,4,0.0967741935483871,0.5,0.0,0.4251328146975881,0.0
604,426,0.7052980132450332,87.36380281690141,1.4910219064526784,0.2974137931034483,0.0517241379310344,5,1,0.2206572769953051,14,3.286384976525822,Q13489,Q13489,BIRC3,BIRC3,True,604,1208.0,0.0467837086677725,0.0465912509487815,0.0024834437086092,0.0,1775.0,2.9086739799847887,2.5832615,0.7397183098591549,0.4456338028169014,pocket_binder,9,0.08215962441314555,0.39569470286369324,4.078931927252271,0.09622149914607364,0.3924809449549969
618,467,0.7556634304207119,88.916573875803,1.2694867960301188,0.2857142857142857,0.0462184873949579,5,1,0.2312633832976445,15,3.2119914346895078,Q13490,Q13490,BIRC2,BIRC2,True,618,1208.0,-0.2286065868578846,-0.1846533249267546,0.1200331125827814,0.0140728476821192,1775.0,5.152856780788732,5.1014442,0.9988732394366198,0.9938028169014084,pocket_binder,9,0.07494646680942184,0.5918870568275452,2.755090974567103,0.1126515734179206,0.31036533319449644
741,235,0.3171390013495276,85.01353191489362,1.6759209358273903,0.373134328358209,0.0820895522388059,18,3,0.2212765957446808,21,8.936170212765958,Q96JG8,Q96JG8,,MAGED4,False,741,,,,,,1775.0,1.6325045665712676,1.1119261,0.5092957746478873,0.2647887323943662,,6,0.13191489361702127,0.30133959650993347,3.2840593904225575,0.10654305629469929,0.34989372450892636
436,394,0.9036697247706422,95.45837563451778,1.252362626797608,0.2628865979381443,0.1185567010309278,7,2,0.1142131979695431,8,2.030456852791878,Q96IG2,Q96IG2,,FBXL20,False,436,1208.0,-0.0012208445976284,-0.0021410101918302,0.0008278145695364,0.0,1775.0,2.434787895971831,2.4220958,0.9909859154929578,0.1645070422535211,,14,0.1065989847715736,0.28631821274757385,7.8965101137816,0.3092566716115413,2.442048435134971
178,116,0.651685393258427,91.7687068965517,2.628270240657089,0.3627450980392157,0.0686274509803921,13,3,0.1293103448275862,7,6.0344827586206895,Q96HR3,Q96HR3,,MED30,False,178,1208.0,-1.9994168735302935,-1.9781262109536564,0.9983443708609272,0.9892384105960264,1775.0,4.705511568169014,4.6857886,1.0,0.9769014084507044,,0,0.0,0.5,0.0,0.4082087372050285,0.0
259,243,0.9382239382239382,94.48773662551442,1.5630371211688765,0.2335766423357664,0.0218978102189781,6,1,0.1646090534979424,10,4.11522633744856,Q96GG9,Q96GG9,,DCUN1D1,False,259,1208.0,-0.0577319784789669,-0.049400016661455,0.0074503311258278,0.0,1775.0,4.6098571335774645,4.6266146,1.0,0.984225352112676,,0,0.01646090534979424,0.5,0.0,0.10765970455999989,0.0
506,403,0.7964426877470355,92.36230769230768,2.441355449863318,0.3193277310924369,0.042016806722689,6,3,0.2406947890818858,28,6.9478908188585615,Q96JB5,Q96JB5,,CDK5RAP3,False,506,1208.0,-0.2380382969052794,-0.2255197964938587,0.0993377483443708,0.0016556291390728,1775.0,6.650629476394365,6.6383348,1.0,1.0,,4,0.034739454094292806,0.5,0.0,0.055228606758621186,0.0
192,85,0.4427083333333333,87.73788235294118,2.564142564054316,0.5428571428571428,0.1571428571428571,21,2,0.2117647058823529,8,9.411764705882351,Q96GF1,Q96GF1,,RNF185,False,192,1208.0,-0.0305443449930359,-0.030355742814609,0.0016556291390728,0.0,1775.0,4.161190101239437,4.15112,1.0,0.9701408450704224,,3,0.11764705882352941,0.5,0.0,0.3020220398037797,0.0
393,371,0.9440203562340967,91.92175202156336,1.9535000130115177,0.3686274509803922,0.0784313725490196,15,4,0.2452830188679245,18,4.851752021563343,Q96G75,Q96G75,,RMND5B,False,393,1208.0,-0.0077345428893011,-0.0098741412460346,0.0,0.0,1775.0,4.356674261030986,4.399793,0.9988732394366198,0.9577464788732394,,3,0.05121293800539083,0.5,0.0,0.1833181127531382,0.0
903,641,0.7098560354374308,88.81728549141967,1.1975757459162433,0.2926829268292683,0.0914634146341463,7,4,0.2246489859594383,28,4.368174726989079,Q96J02,Q96J02,,ITCH,False,903,1208.0,0.0193034319949724,0.0245353724930862,0.0057947019867549,0.0,1775.0,4.829309482309859,4.836131,1.0,0.9819718309859156,,27,0.26521060842433697,0.3076306879520416,14.593489288357285,0.06471306154661688,0.9443893704973592
459,241,0.5250544662309368,91.68551867219917,1.801287813731262,0.3459119496855345,0.0880503144654088,6,2,0.1784232365145228,10,4.149377593360995,Q96BH1,Q96BH1,,RNF25,False,459,1208.0,-0.1739491723498545,-0.1250643887194134,0.076158940397351,0.0082781456953642,1775.0,4.313168106873239,4.3231106,1.0,0.9814084507042252,,6,0.13692946058091288,0.34537702798843384,3.0071879711740066,0.16341383192677797,0.49141610969365757
942,383,0.4065817409766454,92.513681462141,1.012483538278632,0.2647058823529412,0.0808823529411764,4,0,0.1879895561357702,28,7.310704960835509,Q96JK2,Q96JK2,,DCAF5,False,942,1208.0,-0.0265411788689335,-0.0189695117437909,0.0049668874172185,0.0008278145695364,1775.0,4.195877177633802,4.1972914,1.0,0.9701408450704224,,28,0.402088772845953,0.32922303676605225,14.49434301842532,0.19167589949090627,2.778216235586411
268,173,0.6455223880597015,91.14554913294798,2.295316868141827,0.4025974025974026,0.0649350649350649,13,5,0.1965317919075144,11,6.358381502890173,Q96G25,Q96G25,,MED8,False,268,1208.0,-1.2743984391537622,-1.2677491984180198,0.9850993377483444,0.8062913907284768,1775.0,5.140911168619719,5.1412897,1.0,0.9988732394366198,,0,0.0,0.5,0.0,0.1094171329956087,0.0
1562,1151,0.7368758002560819,89.26069504778454,1.1032392058069096,0.2725563909774436,0.0657894736842105,8,6,0.1867940920938314,33,2.8670721112076456,Q96JN8,Q96JN8,,NEURL4,False,1562,1208.0,-0.0602357405846301,-0.0572384874352328,0.0041390728476821,0.0,1775.0,4.054330189329577,4.0827537,0.99943661971831,0.9019718309859156,,90,0.4126846220677672,0.23793146014213562,55.92137856356714,0.15636270486730375,8.744018012107816
617,602,0.9756888168557536,94.88182724252492,1.282968594837575,0.2636986301369863,0.1130136986301369,6,2,0.1960132890365448,32,5.3156146179402,Q96JP0,Q96JP0,,FEM1C,False,617,1208.0,-0.0857865515281902,-0.0743088648846355,0.0223509933774834,0.0,1775.0,3.2929244906873243,3.2711103,0.9988732394366198,0.6664788732394367,,2,0.018272425249169437,0.5,0.0,0.20893788157972357,0.0
570,132,0.231578947368421,80.75500000000001,2.01284461477204,0.4,0.1363636363636363,13,3,0.2272727272727272,6,4.545454545454546,Q96JP5,Q96JP5,,ZFP91,False,570,1208.0,-0.1153072595637726,-0.1054971991412523,0.0149006622516556,0.0008278145695364,1775.0,5.0161914571830994,5.0991898,1.0,0.984225352112676,,0,0.14393939393939395,0.5,0.0,0.49573327829035324,0.0
258,196,0.7596899224806202,85.30051020408165,1.6376408168247767,0.5547445255474452,0.1313868613138686,25,3,0.2244897959183673,20,10.20408163265306,Q96K19,Q96K19,,RNF170,False,258,1208.0,-0.0147794923984491,-0.0094176773745328,0.0008278145695364,0.0,1775.0,3.6782061111042257,3.7163434,0.9977464788732394,0.8264788732394366,,3,0.07142857142857142,0.5,0.0,0.1499959877460084,0.0
538,414,0.7695167286245354,95.18801932367153,1.3708583632522515,0.3254716981132075,0.080188679245283,14,2,0.2101449275362318,23,5.555555555555555,Q96KE9,Q96KE9,,BTBD6,False,538,1208.0,-0.0395697534544244,-0.0308392617398504,0.0132450331125827,0.0,1775.0,4.378833205592112,4.657897,0.9487323943661972,0.8940845070422535,,15,0.24879227053140096,0.6409162282943726,4.162924135430777,0.10466614269212493,0.43571721157548854
414,375,0.9057971014492754,91.68799999999996,1.463962312839969,0.3028846153846153,0.1153846153846153,12,3,0.1866666666666666,26,6.933333333333333,Q96L50,Q96L50,,LRR1,False,414,1208.0,-2.462529984132231,-2.4669137862344943,1.0,0.9975165562913908,1775.0,4.836890309126761,4.897623,1.0,0.9819718309859156,,17,0.27466666666666667,0.4353509247303009,7.117179395344879,0.09722865335582342,0.6919937683011962
638,509,0.7978056426332288,91.21129666011788,2.227060277613151,0.3971014492753623,0.072463768115942,14,8,0.206286836935167,25,4.911591355599214,Q96LD4,Q96LD4,,TRIM47,False,638,1208.0,-0.0759752723928365,-0.0834057455585361,0.0107615894039735,0.0,1775.0,3.48601086076,3.7838757,0.8856338028169014,0.6647887323943662,,20,0.19842829076620824,0.37482744455337524,9.450591994339957,0.13933811821882913,1.3168277045452612
201,150,0.746268656716418,97.43966666666664,1.28913285474103,0.3373493975903614,0.0481927710843373,5,1,0.22,11,7.333333333333333,Q96LR5,Q96LR5,,UBE2E2,False,201,1208.0,0.0606206877617153,0.0635384859659584,0.0,0.0,1775.0,3.9206925718816894,4.3114305,0.9064788732394368,0.8067605633802817,,4,0.15333333333333332,0.5,0.0,0.27864482831993775,0.0
699,96,0.1373390557939914,92.46708333333332,4.290717658401291,0.3368421052631579,0.0526315789473684,9,2,0.1041666666666666,3,3.125,Q96M02,Q96M02,,C10orf90,False,699,,,,,,,,,,,,0,0.0,0.5,0.0,0.1850189274072949,0.0
780,484,0.6205128205128205,91.29245867768596,1.273341178894043,0.3220973782771535,0.0749063670411985,7,4,0.2520661157024793,36,7.43801652892562,Q96JM7,Q96JM7,,L3MBTL3,False,780,1208.0,0.0932089530294792,0.0917173561409199,0.0016556291390728,0.0,1775.0,2.3625261541757747,2.3725314,0.923943661971831,0.2343661971830986,,16,0.22933884297520662,0.42598676681518555,6.825155936230862,0.16479582407605609,1.124757196958751
418,375,0.8971291866028708,93.62232,1.1938750693664275,0.2588235294117647,0.088235294117647,5,1,0.1813333333333333,38,10.133333333333333,Q96FA3,Q96FA3,,PELI1,False,418,1208.0,0.0489404688904264,0.0524455401506769,0.0,0.0,1775.0,3.226583512749859,3.1526425,0.9774647887323944,0.5504225352112676,,24,0.32,0.45645269751548767,9.632554306249974,0.09259122504091659,0.8918900034888415
271,249,0.918819188191882,95.94477911646588,1.164984197618475,0.2695035460992908,0.0780141843971631,7,2,0.1646586345381526,15,6.024096385542169,Q96FW1,Q96FW1,,OTUB1,False,271,1208.0,-0.1556759623555752,-0.1420403152727561,0.043046357615894,0.0008278145695364,1775.0,6.043032580676057,6.053235,1.0,1.0,,5,0.10843373493975904,0.5,0.0,0.11767716358927784,0.0
294,274,0.9319727891156464,95.01470802919708,1.3645980888590483,0.326797385620915,0.1045751633986928,7,2,0.1970802919708029,18,6.569343065693431,Q96DX5,Q96DX5,,ASB9,False,294,1208.0,0.0617793255183432,0.0609216237142259,0.0008278145695364,0.0,1775.0,1.665768132715493,1.3638215,0.5645070422535211,0.2078873239436619,,0,0.014598540145985401,0.5,0.0,0.11878103659860474,0.0
446,411,0.92152466367713,90.9610218978102,1.6060878772250893,0.2783018867924528,0.1084905660377358,7,2,0.1897810218978102,18,4.37956204379562,Q96BQ3,Q96BQ3,,TRIM43,False,446,1047.0,-0.3292314070345539,-0.3140623240987666,0.1537726838586437,0.0,1775.0,0.0796773254157746,0.0,0.0174647887323943,0.0056338028169014,,16,0.20924574209245742,0.4466133415699005,6.549325315666366,0.13096896237843567,0.8577583408716446
441,200,0.4535147392290249,87.9743,1.501399140117349,0.2867647058823529,0.1029411764705882,4,0,0.195,11,5.5,Q96BR9,Q96BR9,,ZBTB8A,False,441,1208.0,-0.0826536815298919,-0.0761068010093229,0.0024834437086092,0.0,1775.0,2.135856001350986,2.2116694,0.9149295774647888,0.1132394366197183,,5,0.17,0.5,0.0,0.2704395418095893,0.0
935,723,0.7732620320855615,92.0242876901798,1.7750408929471595,0.3677419354838709,0.0354838709677419,10,4,0.2019363762102351,32,4.426002766251729,Q96C12,Q96C12,,ARMC5,False,935,1208.0,-0.3959709917234694,-0.3480532981506262,0.293046357615894,0.0513245033112582,1775.0,2.4786773452225352,2.4462614,0.9954929577464788,0.1797183098591549,,3,0.017980636237897647,0.5,0.0,0.05484230105979091,0.0
298,158,0.5302013422818792,94.94367088607596,1.22432718038044,0.3404255319148936,0.0851063829787234,5,1,0.2594936708860759,35,22.15189873417721,Q96CA5,Q96CA5,,BIRC7,False,298,1208.0,0.1576268620825419,0.1582485208451941,0.0,0.0,1775.0,0.548835164592676,0.055155385,0.12,0.0619718309859154,,4,0.11392405063291139,0.5,0.0,0.23720708607803628,0.0
374,357,0.9545454545454546,93.17408963585432,1.1867037811937458,0.4065934065934066,0.0879120879120879,6,5,0.2128851540616246,26,7.282913165266107,Q96CD0,Q96CD0,,FBXL8,False,374,1208.0,-0.0726480367579923,-0.0771085280196356,0.0057947019867549,0.0,1775.0,2.7283363431464784,2.7211626,0.9645070422535212,0.3757746478873239,,12,0.1876750700280112,0.278780996799469,6.871240490171358,0.23413448004337845,1.6087943194192798
875,555,0.6342857142857142,90.74706306306304,1.4420824254861564,0.3501805054151624,0.0866425992779783,9,1,0.245045045045045,69,12.432432432432432,Q96CT2,Q96CT2,,KLHL29,False,875,1208.0,0.071077873403448,0.0684237155337695,0.0,0.0,1775.0,1.719509470512676,1.7980174,0.6895774647887324,0.1504225352112676,,31,0.29009009009009007,0.7314549088478088,7.1784062436875855,0.17817535443099178,1.2790150767186799
325,200,0.6153846153846154,93.4483,1.6857147939357842,0.3076923076923077,0.1111111111111111,6,1,0.16,10,5.0,Q96CX2,Q96CX2,,KCTD12,False,325,1208.0,0.0543545397641665,0.0504326088083737,0.0,0.0,1775.0,2.3730634936061974,2.3291953,0.7346478873239437,0.3622535211267605,,7,0.325,0.2779909074306488,4.014562335839113,0.26158912304137205,1.0501658408270755
192,107,0.5572916666666666,82.45981308411216,2.0748682942055487,0.5942028985507246,0.1594202898550724,21,3,0.1682242990654205,8,7.476635514018691,Q96D59,Q96D59,,RNF183,False,192,1208.0,-0.0103913560423461,-0.0107825871258092,0.0,0.0,1775.0,0.2846084937430986,0.062362142,0.0732394366197183,0.0214084507042253,,6,0.21495327102803738,0.21215489506721497,3.9253270754746294,0.13280543293530084,0.5213047616710664
110,59,0.5363636363636364,90.78694915254236,3.3481428435373406,0.4310344827586206,0.1206896551724138,9,3,0.0677966101694915,1,1.694915254237288,Q96DE5,Q96DE5,,ANAPC16,False,110,1208.0,-0.0174545451938366,-0.0093847584401194,0.0041390728476821,0.0,1775.0,6.390307443943661,6.381197,0.99943661971831,0.99943661971831,,0,0.0,0.5,0.0,0.08374289496352408,0.0
576,469,0.8142361111111112,94.9627078891258,1.0983802266651166,0.330188679245283,0.0660377358490566,5,1,0.1812366737739872,14,2.985074626865672,Q96DX4,Q96DX4,,RSPRY1,False,576,1208.0,-0.0442624167780816,-0.0440243733207427,0.0057947019867549,0.0,1775.0,4.468074341521127,4.480504,1.0,0.9774647887323944,,14,0.16417910447761194,0.6816361546516418,3.581511866387307,0.09472149005263232,0.33924614062538994
344,198,0.5755813953488372,91.36641414141414,2.1037071671414598,0.3246753246753247,0.0649350649350649,15,2,0.1868686868686868,13,6.565656565656567,Q96DX7,Q96DX7,,TRIM44,False,344,1208.0,0.0713310359096078,0.0783586997594469,0.0016556291390728,0.0,1775.0,4.55973155171662,4.6659894,0.9864788732394366,0.9126760563380282,,4,0.08080808080808081,0.5,0.0,0.1957158535829915,0.0
270,243,0.9,92.35444444444444,1.5528279418711868,0.5864197530864198,0.1975308641975308,32,3,0.2510288065843621,54,22.22222222222222,Q96FV3,Q96FV3,,TSPAN17,False,270,1208.0,-0.0349421376773625,-0.0286888901315771,0.0074503311258278,0.0,1775.0,4.63237125684507,4.7773094,1.0,0.948169014084507,,0,0.0,0.5,0.0,0.3072947105959894,0.0
360,306,0.85,94.64816993464052,1.0690858516453872,0.304635761589404,0.0993377483443708,4,0,0.1928104575163398,40,13.071895424836605,Q96EE3,Q96EE3,,SEH1L,False,360,1208.0,-1.167940762329018,-1.168240582955984,0.961092715231788,0.695364238410596,1775.0,5.155062951098591,5.1494546,1.0,0.9960563380281692,,24,0.5163398692810458,0.35318663716316223,11.842331840131717,0.2698696660487008,3.1958861389342426
278,250,0.8992805755395683,93.97772,1.377463704038776,0.3888888888888889,0.0873015873015873,8,2,0.224,21,8.4,Q96EF6,Q96EF6,,FBXO17,False,278,1208.0,0.0163698469601036,0.0168512754843593,0.0049668874172185,0.0,1775.0,2.7673101618991547,3.3396435,0.6794366197183098,0.543661971830986,,10,0.312,0.3242889642715454,5.227886912729102,0.1034063872604078,0.5405968986512832
262,208,0.7938931297709924,91.365,1.2063038837756297,0.3942307692307692,0.0769230769230769,7,2,0.25,43,20.673076923076923,Q96EH8,Q96EH8,,NEURL3,False,262,74.0,0.1302561483898217,0.1537603842689421,0.027027027027027,0.0,1775.0,0.6431656279921127,0.1569182,0.2140845070422535,0.0501408450704225,,14,0.3605769230769231,0.4418579638004303,5.785422559750248,0.23117200948581632,1.3374277588620402
343,225,0.6559766763848397,89.26902222222222,1.5016487121582032,0.3541666666666667,0.1319444444444444,10,4,0.1911111111111111,26,11.555555555555555,Q96M61,Q96M61,,MAGEB18,False,343,1208.0,0.0380826337304883,0.040457801887073,0.0,0.0,1775.0,0.0256534098828169,0.0,0.0039436619718309,0.0005633802816901,,5,0.12444444444444444,0.5,0.0,0.10592403695019212,0.0
664,412,0.6204819277108434,92.25055825242715,1.286021896443935,0.3064516129032258,0.0846774193548387,6,2,0.2014563106796116,17,4.12621359223301,Q96EP1,Q96EP1,,CHFR,False,664,1208.0,-0.0696361387681651,-0.0738671309954132,0.0041390728476821,0.0,1775.0,3.798312568742536,4.1467123,0.9076056338028168,0.8129577464788732,,17,0.17718446601941748,0.3495880961418152,8.448907573530812,0.20513163104397084,1.7331381910981334
232,162,0.6982758620689655,89.85327160493829,1.7451567609545513,0.3333333333333333,0.1171171171171171,8,2,0.191358024691358,6,3.7037037037037033,Q96EQ8,Q96EQ8,,RNF125,False,232,1208.0,0.0367392358167976,0.0354139603779403,0.0008278145695364,0.0,1775.0,1.2328474719988731,0.80236197,0.4388732394366197,0.1019718309859154,,6,0.12345679012345678,0.1938626766204834,4.071592155626517,0.13886418923843957,0.5653983436006668
444,260,0.5855855855855856,88.05630769230768,1.5076214652813555,0.5408805031446541,0.1383647798742138,22,4,0.2653846153846154,30,11.538461538461538,Q96EX2,Q96EX2,,RNFT2,False,444,1208.0,-0.1157119090984695,-0.1125227913773199,0.0024834437086092,0.0008278145695364,1775.0,1.7736751803267603,1.6584995,0.7690140845070422,0.1295774647887324,,2,0.03076923076923077,0.5,0.0,0.07646363735453089,0.0
468,429,0.9166666666666666,91.7574825174825,2.6741197385261817,0.3830508474576271,0.0440677966101694,25,7,0.1655011655011655,11,2.564102564102564,Q96F44,Q96F44,,TRIM11,False,468,1208.0,-0.0229653035307677,-0.0181957634905616,0.0074503311258278,0.0008278145695364,1775.0,4.071659362366197,4.0711966,1.0,0.967887323943662,,15,0.1864801864801865,0.3643440306186676,7.238124601239906,0.24095747158268627,1.744080202915207
