gene_symbol,accession,score_struct
DDA1,Q9BW61,0.9993651166273821
ANAPC15,P60006,0.9955515385536704
DCAF10,Q5QP82,0.9857564439160238
RNF111,Q6ZNA4,0.9848366897603865
ANAPC13,Q9BS18,0.9831961433004135
RNF169,Q8NCN4,0.9696499434930227
FBXL20,Q96IG2,0.9613709470707675
RNF208,Q9H0X6,0.9604979919556572
TOMM6,Q96B49,0.9516863331201947
SOCS7,O14512,0.9473238725269157
SKP2,Q13309,0.9459002966549507
FBXL2,Q9UKC9,0.9384902442347236
FBXL14,Q8N1E6,0.9362516326341551
SPSB3,Q6PJ21,0.9284204078583619
TNIP1,Q15025,0.9242353865098006
