gene,accession,rank,percentile
DCAF11,Q8TEB1,132,15.980629539951574
RNF114,Q9Y508,213,25.786924939467315
RNF126,Q9BV68,228,27.602905569007262
RNF4,P78317,275,33.29297820823244
FBXO22,Q8NEZ5,387,46.85230024213075
DCAF1,Q9Y4B6,725,87.77239709443099
