n_residues_total,n_residues_confident,confident_fraction,mean_plddt,compactness,hp_surf_frac,arom_surf_frac,max_hp_patch,n_hp_patches_5plus,pocket_density,max_pocket_cluster,pocket_cluster_per_100res,accession,Entry,intended_gene,gene_symbol,protac_validated,Length,n_lines_screened,mean_chronos,median_chronos,frac_essential,frac_strongly_essential,n_lines_expression,mean_log_tpm,median_log_tpm,frac_expressed,frac_high_expressed
627,621,0.9904306220095693,94.73312399355878,1.2846333247520336,0.2694805194805195,0.12012987012987013,11,4,0.20128824476650564,20,3.22061191626409,Q9UK73,Q9UK73,FEM1B,FEM1B,True,627,1208.0,-0.12255414527348737,-0.1162076583787134,0.0173841059602649,0.0008278145695364238,1775.0,4.357363809802817,4.3846025,1.0,0.9650704225352112
624,564,0.9038461538461539,95.18544326241134,1.367816613290078,0.2842465753424658,0.10273972602739725,7,1,0.22340425531914893,73,12.943262411347517,Q14145,Q14145,KEAP1,KEAP1,True,624,1208.0,-0.16158623402101607,-0.13783335841661126,0.19370860927152317,0.04718543046357616,1775.0,5.520664185577465,5.5424685,0.9994366197183099,0.9971830985915493
190,83,0.4368421052631579,91.05734939759036,2.3596818248358535,0.35384615384615387,0.09230769230769231,8,2,0.12048192771084337,3,3.614457831325301,P78317,P78317,RNF4,RNF4,True,190,1208.0,-0.6576528532779721,-0.6163503719395789,0.6332781456953642,0.1630794701986755,1775.0,5.428663789577465,5.475497,1.0,0.9977464788732394
497,347,0.6981891348088531,88.21541786743516,1.514245677056585,0.3,0.09523809523809523,5,2,0.21613832853025935,14,4.034582132564841,P98170,P98170,XIAP,XIAP,True,497,1208.0,-0.02526711295246879,-0.012295668764479399,0.01076158940397351,0.0024834437086092716,1775.0,3.9512723396090137,3.9833128,0.9988732394366198,0.9154929577464789
491,187,0.38085539714867617,91.46983957219251,1.8777183342742336,0.373015873015873,0.10317460317460317,6,2,0.21390374331550802,22,11.76470588235294,Q00987,Q00987,MDM2,MDM2,True,491,1208.0,-0.6467857232535293,-0.42644007638114395,0.3841059602649007,0.2251655629139073,1775.0,5.259384478197183,5.0917296,1.0,0.9954929577464788
442,378,0.8552036199095022,93.48293650793651,1.1520853552783161,0.2727272727272727,0.0748663101604278,6,1,0.1984126984126984,23,6.084656084656085,Q96SW2,Q96SW2,CRBN,CRBN,True,442,1208.0,0.042081823836726456,0.0393590549277919,0.0016556291390728477,0.0,1775.0,4.827311087774648,4.8473606,1.0,0.9932394366197184
600,404,0.6733333333333333,92.84356435643565,1.1949236326820822,0.3181818181818182,0.10606060606060606,7,2,0.22277227722772278,27,6.683168316831684,Q66K64,Q66K64,DCAF15,DCAF15,True,600,1208.0,-0.24095090212221973,-0.20120976997701273,0.11175496688741722,0.011589403973509934,1775.0,4.407120699380282,4.406863,1.0,0.9740845070422535
213,155,0.7276995305164319,96.9836129032258,1.4022010299588898,0.36633663366336633,0.07920792079207921,5,1,0.23225806451612904,20,12.903225806451612,P40337,P40337,VHL,VHL,True,213,1208.0,-0.8089743568617448,-0.8120675461084389,0.7698675496688742,0.34105960264900664,1775.0,4.625837558878874,4.678382,0.9983098591549295,0.9628169014084507
1507,1057,0.7013934970139349,90.49809839167455,1.3147555910415776,0.2967741935483871,0.09247311827956989,6,2,0.21286660359508042,20,1.8921475875118259,Q9Y4B6,Q9Y4B6,DCAF1,DCAF1,True,1507,74.0,-2.025802010939442,-1.9834473902803096,1.0,0.972972972972973,1775.0,3.484927249239437,3.5346096,0.9988732394366198,0.7994366197183098
228,186,0.8157894736842105,91.04209677419355,1.8101581240536078,0.3383458646616541,0.08270676691729323,7,4,0.17204301075268819,20,10.75268817204301,Q9Y508,Q9Y508,RNF114,RNF114,True,228,1208.0,-0.033366775370548954,-0.02998632366770755,0.0024834437086092716,0.0,1775.0,6.143770786816901,6.148377,1.0,1.0
604,426,0.7052980132450332,87.36380281690141,1.4910219064526784,0.2974137931034483,0.05172413793103448,5,1,0.22065727699530516,14,3.286384976525822,Q13489,Q13489,BIRC3,BIRC3,True,604,1208.0,0.04678370866777255,0.046591250948781554,0.0024834437086092716,0.0,1775.0,2.9086739799847887,2.5832615,0.7397183098591549,0.4456338028169014
618,467,0.7556634304207119,88.916573875803,1.2694867960301188,0.2857142857142857,0.046218487394957986,5,1,0.23126338329764454,15,3.2119914346895073,Q13490,Q13490,BIRC2,BIRC2,True,618,1208.0,-0.22860658685788462,-0.18465332492675465,0.12003311258278146,0.014072847682119206,1775.0,5.152856780788732,5.1014442,0.9988732394366198,0.9938028169014085
741,235,0.31713900134952766,85.01353191489362,1.6759209358273903,0.373134328358209,0.08208955223880597,18,3,0.22127659574468084,21,8.936170212765958,Q96JG8,Q96JG8,,MAGED4,False,741,,,,,,1775.0,1.6325045665712676,1.1119261,0.5092957746478873,0.2647887323943662
436,394,0.9036697247706422,95.45837563451778,1.252362626797608,0.26288659793814434,0.11855670103092783,7,2,0.11421319796954314,8,2.030456852791878,Q96IG2,Q96IG2,,FBXL20,False,436,1208.0,-0.001220844597628428,-0.0021410101918302,0.0008278145695364238,0.0,1775.0,2.434787895971831,2.4220958,0.9909859154929578,0.1645070422535211
178,116,0.651685393258427,91.7687068965517,2.628270240657089,0.3627450980392157,0.06862745098039216,13,3,0.12931034482758622,7,6.0344827586206895,Q96HR3,Q96HR3,,MED30,False,178,1208.0,-1.9994168735302937,-1.9781262109536564,0.9983443708609272,0.9892384105960265,1775.0,4.705511568169014,4.6857886,1.0,0.9769014084507043
259,243,0.9382239382239382,94.48773662551442,1.5630371211688765,0.23357664233576642,0.021897810218978103,6,1,0.1646090534979424,10,4.11522633744856,Q96GG9,Q96GG9,,DCUN1D1,False,259,1208.0,-0.05773197847896691,-0.049400016661455,0.0074503311258278145,0.0,1775.0,4.6098571335774645,4.6266146,1.0,0.984225352112676
506,403,0.7964426877470355,92.36230769230768,2.441355449863318,0.31932773109243695,0.04201680672268908,6,3,0.24069478908188585,28,6.9478908188585615,Q96JB5,Q96JB5,,CDK5RAP3,False,506,1208.0,-0.2380382969052794,-0.22551979649385875,0.09933774834437085,0.0016556291390728477,1775.0,6.650629476394365,6.6383348,1.0,1.0
192,85,0.4427083333333333,87.73788235294118,2.564142564054316,0.5428571428571428,0.15714285714285714,21,2,0.21176470588235294,8,9.411764705882353,Q96GF1,Q96GF1,,RNF185,False,192,1208.0,-0.030544344993035998,-0.030355742814609,0.0016556291390728477,0.0,1775.0,4.161190101239437,4.15112,1.0,0.9701408450704225
393,371,0.9440203562340967,91.92175202156335,1.9535000130115177,0.3686274509803922,0.0784313725490196,15,4,0.24528301886792453,18,4.8517520215633425,Q96G75,Q96G75,,RMND5B,False,393,1208.0,-0.007734542889301197,-0.00987414124603465,0.0,0.0,1775.0,4.356674261030986,4.399793,0.9988732394366198,0.9577464788732394
