accession,n_domains,length_uniprot,n_disordered
Q9UK73,0,627,0
Q14145,2,624,0
P78317,0,190,1
P98170,0,497,0
Q00987,1,491,4
Q96SW2,2,442,1
Q66K64,0,600,2
P40337,0,213,1
Q9Y4B6,2,1507,3
Q9Y508,0,228,0
Q13489,1,604,0
Q13490,1,618,0
Q96IG2,1,436,0
Q96HR3,0,178,1
Q96GG9,2,259,0
Q96JB5,0,506,0
Q96GF1,0,192,2
Q96G75,2,393,0
Q96J02,6,903,1
Q96BH1,1,459,2
Q96JK2,0,942,5
Q96G25,0,268,2
Q96JN8,6,1562,4
Q96JP0,0,617,0
Q96JP5,0,570,1
Q96K19,0,258,0
Q96KE9,1,538,2
Q96L50,0,414,0
Q96LD4,1,638,3
Q96LR5,1,201,1
Q96JM7,1,780,2
Q96FA3,1,418,0
Q96FW1,1,271,0
Q96DX5,1,294,0
Q96BQ3,1,446,0
Q96BR9,1,441,1
Q96C12,1,935,3
Q96CA5,0,298,2
Q96CD0,1,374,0
Q96CT2,1,875,2
Q96CX2,0,325,2
Q96D59,0,192,0
Q96DE5,0,110,1
Q96DX4,1,576,1
Q96DX7,0,344,3
Q96FV3,0,270,0
Q96EE3,0,360,1
Q96EF6,2,278,0
Q96EH8,1,262,0
Q96M61,1,343,2
Q96EP1,1,664,4
Q96EQ8,0,232,1
Q96EX2,0,444,2
Q96F44,1,468,0
Q96BM1,0,317,1
Q96FN5,1,646,3
Q96EP0,2,1072,2
Q96PQ7,1,755,1
Q96M94,2,604,0
Q9BSM1,0,259,0
Q9BQ87,2,522,0
Q9BQ90,0,382,0
Q9BQA1,0,342,0
Q9BR09,2,285,1
Q9BRZ2,0,755,1
Q9BS18,0,74,1
Q9BSF8,1,475,2
Q9BSK4,0,669,1
Q9BSL1,4,405,2
Q9BT67,0,221,1
Q99942,0,180,1
Q9BTE7,1,237,0
Q9BTT4,0,135,0
Q9BUL5,0,403,3
Q9BUR4,0,548,2
Q9BUZ4,1,470,0
Q9BV68,0,311,3
Q9BVG3,1,475,0
Q9BW61,0,102,1
Q9BWF2,0,469,0
Q9BQ13,1,255,1
Q99728,2,777,3
