gene_symbol,accession,score_full
DDA1,Q9BW61,0.9999887770890826
DCAF13,Q9NV06,0.9995492726747237
PLK1,P53350,0.9994622607163896
BUB3,O43684,0.9994008106651189
DTL,Q9NZJ0,0.9989630469211569
VCP,P55072,0.998912733820708
ANAPC15,P60006,0.9988718132779733
LRR1,Q96L50,0.997912056828945
DCAF10,Q5QP82,0.9977773598591182
NEDD8,Q15843,0.9968463011472015
TOMM6,Q96B49,0.9955041281836681
CDC20,Q12834,0.9953134686575925
ANAPC11,Q9NYG5,0.9952722380873996
PRPF19,Q9UMS4,0.9945969780590229
DDB1,Q16531,0.9939367307169965
