n_residues_total,n_residues_confident,confident_fraction,mean_plddt,compactness,hp_surf_frac,arom_surf_frac,max_hp_patch,n_hp_patches_5plus,pocket_density,max_pocket_cluster,pocket_cluster_per_100res,accession,Entry,intended_gene,gene_symbol,protac_validated,Length
627,621,0.9904306220095693,94.73312399355878,1.2846333247520336,0.2694805194805195,0.12012987012987013,11,4,0.20128824476650564,20,3.22061191626409,Q9UK73,Q9UK73,FEM1B,FEM1B,True,627
624,564,0.9038461538461539,95.18544326241134,1.367816613290078,0.2842465753424658,0.10273972602739725,7,1,0.22340425531914893,73,12.943262411347517,Q14145,Q14145,KEAP1,KEAP1,True,624
190,83,0.4368421052631579,91.05734939759036,2.3596818248358535,0.35384615384615387,0.09230769230769231,8,2,0.12048192771084337,3,3.614457831325301,P78317,P78317,RNF4,RNF4,True,190
497,347,0.6981891348088531,88.21541786743516,1.514245677056585,0.3,0.09523809523809523,5,2,0.21613832853025935,14,4.034582132564841,P98170,P98170,XIAP,XIAP,True,497
491,187,0.38085539714867617,91.46983957219251,1.8777183342742336,0.373015873015873,0.10317460317460317,6,2,0.21390374331550802,22,11.76470588235294,Q00987,Q00987,MDM2,MDM2,True,491
442,378,0.8552036199095022,93.48293650793651,1.1520853552783161,0.2727272727272727,0.0748663101604278,6,1,0.1984126984126984,23,6.084656084656085,Q96SW2,Q96SW2,CRBN,CRBN,True,442
600,404,0.6733333333333333,92.84356435643565,1.1949236326820822,0.3181818181818182,0.10606060606060606,7,2,0.22277227722772278,27,6.683168316831684,Q66K64,Q66K64,DCAF15,DCAF15,True,600
213,155,0.7276995305164319,96.9836129032258,1.4022010299588898,0.36633663366336633,0.07920792079207921,5,1,0.23225806451612904,20,12.903225806451612,P40337,P40337,VHL,VHL,True,213
1507,1057,0.7013934970139349,90.49809839167455,1.3147555910415776,0.2967741935483871,0.09247311827956989,6,2,0.21286660359508042,20,1.8921475875118259,Q9Y4B6,Q9Y4B6,DCAF1,DCAF1,True,1507
228,186,0.8157894736842105,91.04209677419355,1.8101581240536078,0.3383458646616541,0.08270676691729323,7,4,0.17204301075268819,20,10.75268817204301,Q9Y508,Q9Y508,RNF114,RNF114,True,228
604,426,0.7052980132450332,87.36380281690141,1.4910219064526784,0.2974137931034483,0.05172413793103448,5,1,0.22065727699530516,14,3.286384976525822,Q13489,Q13489,BIRC3,BIRC3,True,604
618,467,0.7556634304207119,88.916573875803,1.2694867960301188,0.2857142857142857,0.046218487394957986,5,1,0.23126338329764454,15,3.2119914346895073,Q13490,Q13490,BIRC2,BIRC2,True,618
741,235,0.31713900134952766,85.01353191489362,1.6759209358273903,0.373134328358209,0.08208955223880597,18,3,0.22127659574468084,21,8.936170212765958,Q96JG8,Q96JG8,,MAGED4,False,741
436,394,0.9036697247706422,95.45837563451778,1.252362626797608,0.26288659793814434,0.11855670103092783,7,2,0.11421319796954314,8,2.030456852791878,Q96IG2,Q96IG2,,FBXL20,False,436
178,116,0.651685393258427,91.7687068965517,2.628270240657089,0.3627450980392157,0.06862745098039216,13,3,0.12931034482758622,7,6.0344827586206895,Q96HR3,Q96HR3,,MED30,False,178
259,243,0.9382239382239382,94.48773662551442,1.5630371211688765,0.23357664233576642,0.021897810218978103,6,1,0.1646090534979424,10,4.11522633744856,Q96GG9,Q96GG9,,DCUN1D1,False,259
506,403,0.7964426877470355,92.36230769230768,2.441355449863318,0.31932773109243695,0.04201680672268908,6,3,0.24069478908188585,28,6.9478908188585615,Q96JB5,Q96JB5,,CDK5RAP3,False,506
192,85,0.4427083333333333,87.73788235294118,2.564142564054316,0.5428571428571428,0.15714285714285714,21,2,0.21176470588235294,8,9.411764705882353,Q96GF1,Q96GF1,,RNF185,False,192
393,371,0.9440203562340967,91.92175202156335,1.9535000130115177,0.3686274509803922,0.0784313725490196,15,4,0.24528301886792453,18,4.8517520215633425,Q96G75,Q96G75,,RMND5B,False,393
903,641,0.7098560354374308,88.81728549141967,1.1975757459162433,0.2926829268292683,0.09146341463414634,7,4,0.22464898595943839,28,4.368174726989079,Q96J02,Q96J02,,ITCH,False,903
459,241,0.5250544662309368,91.68551867219917,1.801287813731262,0.34591194968553457,0.0880503144654088,6,2,0.17842323651452283,10,4.149377593360995,Q96BH1,Q96BH1,,RNF25,False,459
