Entry,Entry Name,Gene Names,Protein names,Length,source_query,intended_gene,protac_validated,gene_symbol
Q9UK73,FEM1B_HUMAN,FEM1B F1AA KIAA0396,Protein fem-1 homolog B (FEM1b) (FEM1-beta) (Fem-1-like death receptor-binding protein alpha) (Fem-1-like in apoptotic pathway protein alpha) (F1A-alpha),627,manual_protac_e3,FEM1B,True,FEM1B
Q14145,KEAP1_HUMAN,KEAP1 INRF2 KIAA0132 KLHL19,Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19),624,"direct_e3,substrate_adapters",KEAP1,True,KEAP1
Q9NXF7,DCA16_HUMAN,DCAF16 C4orf30,DDB1- and CUL4-associated factor 16,216,"direct_e3,substrate_adapters",DCAF16,True,DCAF16
P78317,RNF4_HUMAN,RNF4 SNURF RES4-26,E3 ubiquitin-protein ligase RNF4 (EC 2.3.2.27) (RING finger protein 4) (Small nuclear ring finger protein) (Protein SNURF),190,direct_e3,RNF4,True,RNF4
P98170,XIAP_HUMAN,XIAP API3 BIRC4 IAP3,E3 ubiquitin-protein ligase XIAP (EC 2.3.2.27) (Baculoviral IAP repeat-containing protein 4) (IAP-like protein) (ILP) (hILP) (Inhibitor of apoptosis protein 3) (IAP-3) (hIAP-3) (hIAP3) (RING-type E3 ubiquitin transferase XIAP) (X-linked inhibitor of apoptosis protein) (X-linked IAP),497,direct_e3,XIAP,True,XIAP
Q00987,MDM2_HUMAN,MDM2,E3 ubiquitin-protein ligase Mdm2 (EC 2.3.2.27) (Double minute 2 protein) (Hdm2) (Oncoprotein Mdm2) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2),491,direct_e3,MDM2,True,MDM2
Q96SW2,CRBN_HUMAN,CRBN AD-006,Protein cereblon,442,substrate_adapters,CRBN,True,CRBN
Q66K64,DCA15_HUMAN,DCAF15 C19orf72,DDB1- and CUL4-associated factor 15,600,direct_e3,DCAF15,True,DCAF15
P40337,VHL_HUMAN,VHL,von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL),213,"direct_e3,substrate_adapters",VHL,True,VHL
Q9Y4B6,DCAF1_HUMAN,DCAF1 KIAA0800 RIP VPRBP,DDB1- and CUL4-associated factor 1 (HIV-1 Vpr-binding protein) (VprBP) (Serine/threonine-protein kinase VPRBP) (EC 2.7.11.1) (Vpr-interacting protein),1507,"direct_e3,substrate_adapters",DCAF1,True,DCAF1
Q9Y508,RN114_HUMAN,RNF114 ZNF228 ZNF313,E3 ubiquitin-protein ligase RNF114 (EC 2.3.2.27) (RING finger protein 114) (RING-type E3 ubiquitin transferase RNF114) (Zinc finger protein 228) (Zinc finger protein 313),228,direct_e3,RNF114,True,RNF114
Q13489,BIRC3_HUMAN,BIRC3 API2 MIHC RNF49,Baculoviral IAP repeat-containing protein 3 (EC 2.3.2.27) (Apoptosis inhibitor 2) (API2) (Cellular inhibitor of apoptosis 2) (C-IAP2) (IAP homolog C) (Inhibitor of apoptosis protein 1) (hIAP-1) (hIAP1) (RING finger protein 49) (RING-type E3 ubiquitin transferase BIRC3) (TNFR2-TRAF-signaling complex protein 1),604,direct_e3,BIRC3,True,BIRC3
Q13490,BIRC2_HUMAN,BIRC2 API1 MIHB RNF48,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),618,direct_e3,BIRC2,True,BIRC2
Q96JG8,MAGD4_HUMAN,MAGED4 KIAA1859 MAGED4A MAGEE1; MAGED4B,Melanoma-associated antigen D4 (MAGE-D4 antigen) (MAGE-E1 antigen),741,direct_e3,,False,MAGED4
Q96IG2,FXL20_HUMAN,FBXL20 FBL2,F-box/LRR-repeat protein 20 (F-box and leucine-rich repeat protein 20) (F-box/LRR-repeat protein 2-like),436,"direct_e3,f_box",,False,FBXL20
Q96HR3,MED30_HUMAN,MED30 THRAP6 TRAP25,Mediator of RNA polymerase II transcription subunit 30 (Mediator complex subunit 30) (TRAP/Mediator complex component TRAP25) (Thyroid hormone receptor-associated protein 6) (Thyroid hormone receptor-associated protein complex 25 kDa component) (Trap25),178,direct_e3,,False,MED30
Q96GG9,DCNL1_HUMAN,DCUN1D1 DCN1 DCUN1L1 RP42 SCCRO,DCN1-like protein 1 (DCNL1) (DCUN1 domain-containing protein 1) (Defective in cullin neddylation protein 1-like protein 1) (Squamous cell carcinoma-related oncogene),259,direct_e3,,False,DCUN1D1
Q96JB5,CK5P3_HUMAN,CDK5RAP3 IC53 LZAP MSTP016 OK/SW-cl.114 PP1553,CDK5 regulatory subunit-associated protein 3 (CDK5 activator-binding protein C53) (LXXLL/leucine-zipper-containing ARF-binding protein) (Protein HSF-27),506,substrate_adapters,,False,CDK5RAP3
Q96GF1,RN185_HUMAN,RNF185,E3 ubiquitin-protein ligase RNF185 (EC 2.3.2.27) (RING finger protein 185),192,direct_e3,,False,RNF185
Q96G75,RMD5B_HUMAN,RMND5B UNQ2508/PRO5996,E3 ubiquitin-protein transferase RMND5B (EC 2.3.2.27) (Protein RMD5 homolog B),393,direct_e3,,False,RMND5B
Q96J02,ITCH_HUMAN,ITCH,E3 ubiquitin-protein ligase Itchy homolog (Itch) (EC 2.3.2.26) (Atrophin-1-interacting protein 4) (AIP4) (HECT-type E3 ubiquitin transferase Itchy homolog) (NFE2-associated polypeptide 1) (NAPP1),903,direct_e3,,False,ITCH
Q96BH1,RNF25_HUMAN,RNF25,E3 ubiquitin-protein ligase RNF25 (EC 2.3.2.27) (RING finger protein 25) (RING finger protein AO7),459,direct_e3,,False,RNF25
Q96JK2,DCAF5_HUMAN,DCAF5 BCRG2 KIAA1824 WDR22,DDB1- and CUL4-associated factor 5 (Breakpoint cluster region protein 2) (BCRP2) (WD repeat-containing protein 22),942,"direct_e3,substrate_adapters",,False,DCAF5
Q96G25,MED8_HUMAN,MED8,Mediator of RNA polymerase II transcription subunit 8 (Activator-recruited cofactor 32 kDa component) (ARC32) (Mediator complex subunit 8),268,direct_e3,,False,MED8
Q96JN8,NEUL4_HUMAN,NEURL4 KIAA1787,Neuralized-like protein 4,1562,direct_e3,,False,NEURL4
Q96JP0,FEM1C_HUMAN,FEM1C KIAA1785,Protein fem-1 homolog C (FEM1c) (FEM1-gamma),617,"direct_e3,substrate_adapters",,False,FEM1C
Q96JP5,ZFP91_HUMAN,ZFP91 ZNF757 FKSG11,E3 ubiquitin-protein ligase ZFP91 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ZFP91) (Zinc finger protein 757) (Zinc finger protein 91 homolog) (Zfp-91),570,direct_e3,,False,ZFP91
